Date,Unemployment Rate,Share of Total Net Worth Held by the Top 1% ,Share of Total Assets Held by the Top 1%
1/7/89,5.2,23.5,20.9
1/10/89,5.3,23.7,21
1/1/90,5.4,23.5,20.9
1/4/90,5.4,23.8,21.1
1/7/90,5.5,23.3,20.6
1/10/90,5.9,23.6,20.9
1/1/91,6.4,23.8,21.1
1/4/91,6.7,23.8,21.1
1/7/91,6.8,24,21.3
1/10/91,7,24.4,21.6
1/1/92,7.3,24.2,21.5
1/4/92,7.4,24.2,21.4
1/7/92,7.7,24.1,21.3
1/10/92,7.3,24.5,21.7
1/1/93,7.3,25.2,22.3
1/4/93,7.1,25.3,22.4
1/7/93,6.9,25.6,22.7
1/10/93,6.8,25.9,22.9
1/1/94,6.6,26.2,23.2
1/4/94,6.4,26.7,23.5
1/7/94,6.1,26.9,23.7
1/10/94,5.8,27.5,24.2
1/1/95,5.6,28,24.6
1/4/95,5.8,28,24.7
1/7/95,5.7,28.3,24.9
1/10/95,5.5,28.4,25
1/1/96,5.6,28.2,24.9
1/4/96,5.6,28.2,24.8
1/7/96,5.5,28.1,24.7
1/10/96,5.2,28.3,24.9
1/1/97,5.3,27.8,24.6
1/4/97,5.1,28.2,24.9
1/7/97,4.9,28.2,25
1/10/97,4.7,28.1,24.9
1/1/98,4.6,28.3,25.2
1/4/98,4.3,28.4,25.2
1/7/98,4.5,27.8,24.7
1/10/98,4.5,27.9,24.8
1/1/99,4.3,27.6,24.6
1/4/99,4.3,27.9,24.8
1/7/99,4.3,27.6,24.5
1/10/99,4.1,28.1,25
1/1/00,4,28.4,25.3
1/4/00,3.8,28.1,24.9
1/7/00,4,27.7,24.6
1/10/00,3.9,27.2,24
1/1/01,4.2,26.6,23.5
1/4/01,4.4,26.5,23.4
1/7/01,4.6,25.9,22.8
1/10/01,5.3,25.9,22.8
1/1/02,5.7,26,22.9
1/4/02,5.9,26,22.9
1/7/02,5.8,25.4,22.2
1/10/02,5.7,25.5,22.3
1/1/03,5.8,25.4,22.2
1/4/03,6,26.2,22.8
1/7/03,6.2,26.5,23.1
1/10/03,6,26.8,23.4
1/1/04,5.7,27.6,24.2
1/4/04,5.6,27.5,24
1/7/04,5.5,27.6,24.2
1/10/04,5.5,28,24.4
1/1/05,5.3,28.2,24.6
1/4/05,5.2,28.5,24.8
1/7/05,5,28.7,24.9
1/10/05,5,28.8,25
1/1/06,4.7,29.4,25.4
1/4/06,4.7,29.2,25.2
1/7/06,4.7,29.3,25.2
1/10/06,4.4,29.4,25.3
1/1/07,4.6,29.7,25.5
1/4/07,4.5,29.6,25.4
1/7/07,4.7,29.6,25.4
1/10/07,4.7,29.3,25
1/1/08,5,29.1,24.7
1/4/08,5,29,24.6
1/7/08,5.8,28.7,24.2
1/10/08,6.5,27.4,23.1
1/1/09,7.8,27.2,22.9
1/4/09,9,27.6,23.2
1/7/09,9.5,28.6,24.2
1/10/09,10,28,23.7
1/1/10,9.8,28.6,24.4
1/4/10,9.9,28.6,24.3
1/7/10,9.4,28.7,24.5
1/10/10,9.4,28.5,24.4
1/1/11,9.1,29.3,25.1
1/4/11,9.1,29.5,25.3
1/7/11,9,29.2,25
1/10/11,8.8,28.9,24.8
1/1/12,8.3,29.5,25.4
1/4/12,8.2,29.7,25.6
1/7/12,8.2,29.8,25.8
1/10/12,7.8,29.9,25.9
1/1/13,8,30.2,26.3
1/4/13,7.6,30.2,26.3
1/7/13,7.3,30.1,26.3
1/10/13,7.2,30.1,26.3
1/1/14,6.6,30.5,26.8
1/4/14,6.2,30.6,26.9
1/7/14,6.2,30.7,27.1
1/10/14,5.7,30.9,27.2
1/1/15,5.7,31.1,27.5
1/4/15,5.4,31.2,27.6
1/7/15,5.2,31,27.4
1/10/15,5,31,27.5
1/1/16,6.9,31.2,27.7
1/4/16,6.9,31.4,27.9
1/7/16,7,31.4,27.9
1/10/16,7,31.1,27.7
1/1/17,7,31.3,27.9
1/4/17,7,31.2,27.9
1/7/17,7,31.2,27.9
1/10/17,7,31.3,28
1/1/18,7,31.3,28
1/4/18,7.1,31.2,27.9
1/7/18,7.1,31.3,28
1/10/18,7.1,30.7,27.3
1/1/19,7.1,31.2,27.9
1/4/19,7.1,31.1,27.8
1/7/19,7.1,30.9,27.7
1/10/19,7.2,31.2,28
1/1/20,7.2,30,26.7
1/4/20,7.2,30.5,27.4